attainment_status,decision_reason,persons,target_population,share_of_target_population
accepted,initial_observation,15622,43008,0.36323474702380953
accepted,carry_forward,4055,43008,0.09428478422619048
accepted,compatible_retained,3380,43008,0.07859002976190477
accepted,upward_progression,266,43008,0.006184895833333333
review_required,temporal_regression,48,43008,0.0011160714285714285
review_required,same_year_conflict,16,43008,3.720238095238095e-4
review_required,same_year_conflict_retained_prior,5,43008,1.1625744047619047e-4
not_reported,no_usable_evidence,19616,43008,0.45610119047619047
