attainment_status,decision_reason,persons,persons_with_range,range_agreement_persons,exact_state_persons,exact_match_persons,mean_range_width,range_coverage_rate,range_agreement_rate,exact_state_agreement_rate
accepted,initial_observation,15622,15622,15393,3523,3414,1.0113301753936763,1,0.9853411855076175,0.9690604598353676
accepted,carry_forward,4055,4055,3537,4055,3537,0,1,0.8722564734895191,0.8722564734895191
accepted,compatible_retained,3380,3380,3136,3380,3136,0,1,0.927810650887574,0.927810650887574
accepted,upward_progression,266,266,240,85,78,1.1165413533834585,1,0.9022556390977443,0.9176470588235294
review_required,temporal_regression,48,48,30,48,30,0,1,0.625,0.625
review_required,same_year_conflict,16,0,0,0,0,,0,,
review_required,same_year_conflict_retained_prior,5,5,4,5,4,0,1,0.8,0.8
not_reported,no_usable_evidence,17403,0,0,0,0,,0,,
