estimation_method,evaluated_persons,true_positive,false_positive,true_negative,false_negative,accuracy,precision,recall,specificity,false_positive_rate,false_negative_rate
population_register_baseline,53000,49006,2389,611,994,0.9361698113207547,0.9535168790738399,0.98012,0.20366666666666666,0.7963333333333333,0.01988
evidence_fallback_without_clarification,53000,49701,2450,550,299,0.9481320754716981,0.9530210350712355,0.99402,0.18333333333333332,0.8166666666666667,0.00598
clarification_assisted,53000,49646,887,2113,354,0.9765849056603774,0.9824471137672413,0.99292,0.7043333333333334,0.2956666666666667,0.00708
